c11,x12,y12,p1,c21,c22,x22,y22,p2,t1,t2,step,block
,na,na,1,na,na,500,0,0.1,0,0,2,weighting
,na,na,1,na,na,500,na,1,0,3,1,discount
,na,na,1,na,na,500,na,1,0,6,1,discount
,na,na,1,na,na,200,na,1,0,6,1,intertemporal
,200,na,1,200,na,400,na,1,0,6,1,intertemporal
,na,na,1,na,na,500,0,0.1,0,0,2,weighting
,na,na,1,na,na,500,0,0.2,0,0,2,weighting
,na,na,1,na,na,500,0,0.5,0,0,2,weighting
,na,na,1,na,na,500,100,0.5,0,0,2,risky
,na,na,1,na,na,500,200,0.5,0,0,2,risky
,na,na,1,na,na,500,0,0.8,0,3,3,risky_discount
,na,na,1,na,na,500,0,0.8,9,12,3,risky_discount
,na,na,1,na,na,200,0,0.8,0,6,3,risky_intertemporal
,na,na,1,na,na,500,0,0.1,0,3,3,intertemporal_weighting
,na,na,1,na,na,500,0,0.2,0,6,3,intertemporal_weighting
